policy,budget,n,emitted,abstained,extra_generations,total_generations,expected_correct_answers,expected_accuracy,coverage,selective_accuracy,accuracy_per_extra_generation,correct_answers_per_generation,expected_accuracy_ci_low,expected_accuracy_ci_high,expected_accuracy_bootstrap_valid,coverage_ci_low,coverage_ci_high,coverage_bootstrap_valid,selective_accuracy_ci_low,selective_accuracy_ci_high,selective_accuracy_bootstrap_valid,accuracy_per_extra_generation_ci_low,accuracy_per_extra_generation_ci_high,accuracy_per_extra_generation_bootstrap_valid,correct_answers_per_generation_ci_low,correct_answers_per_generation_ci_high,correct_answers_per_generation_bootstrap_valid,run
never_resample,1,2221,2221,0,0,2221,1722.0,0.775326429536245,1.0,0.775326429536245,0.0,0.775326429536245,0.7582057631697433,0.7928860873480414,1000,1.0,1.0,1000,0.7582057631697433,0.7928860873480414,1000,0.0,0.0,1000,0.7582057631697433,0.7928860873480414,1000,triviaqa_brief
always_resample,1,2221,2221,0,2221,4442,1496.0,0.6735704637550652,1.0,0.6735704637550652,-0.1017559657811796,0.3367852318775326,0.6541873030166592,0.6933926159387663,1000,1.0,1.0,1000,0.6541873030166592,0.6933926159387663,1000,-0.1179648806843764,-0.0864362899594777,1000,0.3270936515083296,0.3466963079693831,1000,triviaqa_brief
joint_high_se_error,1,2221,2221,0,814,3035,1624.0,0.7312021611886538,1.0,0.7312021611886538,-0.1203931203931203,0.5350906095551895,0.7136312471859523,0.74966231427285,1000,1.0,1.0,1000,0.7136312471859523,0.74966231427285,1000,-0.1515626764539808,-0.0880788177339901,1000,0.5163185378590078,0.5553009345326543,1000,triviaqa_brief
never_resample,2,2221,2221,0,0,2221,1722.0,0.775326429536245,1.0,0.775326429536245,0.0,0.775326429536245,0.7582057631697433,0.7928860873480414,1000,1.0,1.0,1000,0.7582057631697433,0.7928860873480414,1000,0.0,0.0,1000,0.7582057631697433,0.7928860873480414,1000,triviaqa_brief
always_resample,2,2221,2221,0,4442,6663,1496.5,0.6737955875731653,1.0,0.6737955875731653,-0.0507654209815398,0.224598529191055,0.6562359297613688,0.6918167492120667,1000,1.0,1.0,1000,0.6562359297613688,0.6918167492120667,1000,-0.0577442593426384,-0.044687077892841,1000,0.2187453099204562,0.2306055830706889,1000,triviaqa_brief
joint_high_se_error,2,2221,2221,0,1628,3849,1623.0,0.7307519135524538,1.0,0.7307519135524538,-0.0608108108108108,0.421667965705378,0.7134173795587573,0.7478613237280505,1000,1.0,1.0,1000,0.7134173795587573,0.7478613237280505,1000,-0.0738425682773109,-0.0484673304805793,1000,0.4044786697105691,0.4401555521749109,1000,triviaqa_brief
never_resample,5,2221,2221,0,0,2221,1722.0,0.775326429536245,1.0,0.775326429536245,0.0,0.775326429536245,0.7582057631697433,0.7928860873480414,1000,1.0,1.0,1000,0.7582057631697433,0.7928860873480414,1000,0.0,0.0,1000,0.7582057631697433,0.7928860873480414,1000,triviaqa_brief
always_resample,5,2221,2221,0,11105,13326,1488.0,0.669968482665466,1.0,0.669968482665466,-0.0210715893741557,0.1116614137775776,0.6536672669968483,0.6857271499324628,1000,1.0,1.0,1000,0.6536672669968483,0.6857271499324628,1000,-0.0234678072940117,-0.0190900495272399,1000,0.1089445444994747,0.1142878583220771,1000,triviaqa_brief
joint_high_se_error,5,2221,2221,0,4070,6291,1617.6,0.7283205763169743,1.0,0.7283205763169743,-0.0256511056511056,0.2571292322365283,0.7119293111211168,0.744889689329131,1000,1.0,1.0,1000,0.7119293111211168,0.744889689329131,1000,-0.030192471042471,-0.0214298845732323,1000,0.2441216612006948,0.2712383094702773,1000,triviaqa_brief
never_resample,10,2221,2221,0,0,2221,1722.0,0.775326429536245,1.0,0.775326429536245,0.0,0.775326429536245,0.7582057631697433,0.7928860873480414,1000,1.0,1.0,1000,0.7582057631697433,0.7928860873480414,1000,0.0,0.0,1000,0.7582057631697433,0.7928860873480414,1000,triviaqa_brief
always_resample,10,2221,2221,0,22210,24431,1495.6999999999998,0.6734353894642052,1.0,0.6734353894642052,-0.0101891040072039,0.0612213990422004,0.6586638901395768,0.6899606033318325,1000,1.0,1.0,1000,0.6586638901395768,0.6899606033318325,1000,-0.0112925484016209,-0.0092030616839261,1000,0.0598785354672342,0.0627236912119847,1000,triviaqa_brief
joint_high_se_error,10,2221,2221,0,8140,10361,1622.4,0.7304817649707339,1.0,0.7304817649707339,-0.0122358722358722,0.1565872020075282,0.7141816749212065,0.7468752814047727,1000,1.0,1.0,1000,0.7141816749212065,0.7468752814047727,1000,-0.0143636724386724,-0.0102402602579547,1000,0.1475368420838085,0.1663266186888367,1000,triviaqa_brief
never_resample,1,3920,3920,0,0,3920,1317.0,0.335969387755102,1.0,0.335969387755102,0.0,0.335969387755102,0.3201466836734694,0.3502551020408163,1000,1.0,1.0,1000,0.3201466836734694,0.3502551020408163,1000,0.0,0.0,1000,0.3201466836734694,0.3502551020408163,1000,popqa_brief
always_resample,1,3920,3920,0,3920,7840,979.0,0.2497448979591836,1.0,0.2497448979591836,-0.0862244897959183,0.1248724489795918,0.2372448979591837,0.2632653061224489,1000,1.0,1.0,1000,0.2372448979591837,0.2632653061224489,1000,-0.0977104591836734,-0.0747448979591836,1000,0.1186224489795918,0.1316326530612244,1000,popqa_brief
joint_high_se_error,1,3920,3920,0,1839,5759,1238.0,0.3158163265306122,1.0,0.3158163265306122,-0.042958129418162,0.2149678763674249,0.3002551020408163,0.3298469387755102,1000,1.0,1.0,1000,0.3002551020408163,0.3298469387755102,1000,-0.0553439069075744,-0.0307242295909172,1000,0.2033485993874784,0.2260847002165861,1000,popqa_brief
never_resample,2,3920,3920,0,0,3920,1317.0,0.335969387755102,1.0,0.335969387755102,0.0,0.335969387755102,0.3201466836734694,0.3502551020408163,1000,1.0,1.0,1000,0.3201466836734694,0.3502551020408163,1000,0.0,0.0,1000,0.3201466836734694,0.3502551020408163,1000,popqa_brief
always_resample,2,3920,3920,0,7840,11760,995.5,0.253954081632653,1.0,0.253954081632653,-0.0410076530612244,0.0846513605442177,0.2419642857142857,0.2668431122448979,1000,1.0,1.0,1000,0.2419642857142857,0.2668431122448979,1000,-0.0459821428571428,-0.0362244897959183,1000,0.0806547619047619,0.0889477040816326,1000,popqa_brief
joint_high_se_error,2,3920,3920,0,3678,7598,1245.5,0.3177295918367347,1.0,0.3177295918367347,-0.0194399129961935,0.1639247170307975,0.3024170918367347,0.3312531887755102,1000,1.0,1.0,1000,0.3024170918367347,0.3312531887755102,1000,-0.0254557217937249,-0.0142270256817295,1000,0.1546046073136494,0.1727169785759345,1000,popqa_brief
never_resample,5,3920,3920,0,0,3920,1317.0,0.335969387755102,1.0,0.335969387755102,0.0,0.335969387755102,0.3201466836734694,0.3502551020408163,1000,1.0,1.0,1000,0.3201466836734694,0.3502551020408163,1000,0.0,0.0,1000,0.3201466836734694,0.3502551020408163,1000,popqa_brief
always_resample,5,3920,3920,0,19600,23520,995.8,0.254030612244898,1.0,0.254030612244898,-0.0163877551020408,0.0423384353741496,0.2424489795918367,0.2656160714285714,1000,1.0,1.0,1000,0.2424489795918367,0.2656160714285714,1000,-0.0181742346938775,-0.0145811224489795,1000,0.0404081632653061,0.0442693452380952,1000,popqa_brief
joint_high_se_error,5,3920,3920,0,9195,13115,1245.4,0.317704081632653,1.0,0.317704081632653,-0.0077868406742794,0.0949599695005718,0.3028941326530611,0.3312295918367347,1000,1.0,1.0,1000,0.3028941326530611,0.3312295918367347,1000,-0.0100426074311144,-0.0057687490192118,1000,0.0891905254148367,0.1005790283055504,1000,popqa_brief
never_resample,10,3920,3920,0,0,3920,1317.0,0.335969387755102,1.0,0.335969387755102,0.0,0.335969387755102,0.3201466836734694,0.3502551020408163,1000,1.0,1.0,1000,0.3201466836734694,0.3502551020408163,1000,0.0,0.0,1000,0.3201466836734694,0.3502551020408163,1000,popqa_brief
always_resample,10,3920,3920,0,39200,43120,996.5,0.2542091836734694,1.0,0.2542091836734694,-0.0081760204081632,0.0231099257884972,0.2430599489795918,0.2652582908163265,1000,1.0,1.0,1000,0.2430599489795918,0.2652582908163265,1000,-0.0090230229591836,-0.0073214285714285,1000,0.0220963589981447,0.0241143900742115,1000,popqa_brief
joint_high_se_error,10,3920,3920,0,18390,22310,1246.4,0.3179591836734694,1.0,0.3179591836734694,-0.0038390429581294,0.0558673240699238,0.3031524234693877,0.3315860969387755,1000,1.0,1.0,1000,0.3031524234693877,0.3315860969387755,1000,-0.0048951508627129,-0.0028766234215234,1000,0.0522648583387798,0.0593599870339787,1000,popqa_brief
never_resample,1,2221,2221,0,0,2221,1748.0,0.7870328680774425,1.0,0.7870328680774425,0.0,0.7870328680774425,0.769923457901846,0.8041422782530392,1000,1.0,1.0,1000,0.769923457901846,0.8041422782530392,1000,0.0,0.0,1000,0.769923457901846,0.8041422782530392,1000,triviaqa_long
always_resample,1,2221,2221,0,2221,4442,1530.0,0.6888788833858622,1.0,0.6888788833858622,-0.0981539846915803,0.3444394416929311,0.6695182350292661,0.7059995497523638,1000,1.0,1.0,1000,0.6695182350292661,0.7059995497523638,1000,-0.1139239081494822,-0.0832958126969833,1000,0.334759117514633,0.3529997748761819,1000,triviaqa_long
