run,dataset,se_features,correctness_features,overlap,jaccard,overlap_coefficient,se_cross_minus_direct_r2,se_cross_ci_low,se_cross_ci_high,correctness_cross_minus_direct_auroc,correctness_cross_ci_low,correctness_cross_ci_high
triviaqa_brief,TriviaQA brief,128,32,29,0.2213740458015267,0.90625,-0.0675446551361379,-0.0861188975806687,-0.0507846199399976,0.0062087007929911,-0.0024105271778406,0.0153923025421433
popqa_brief,PopQA brief,128,128,108,0.7297297297297297,0.84375,0.0025794890628382,-0.0010262989309004,0.0062248747173857,-0.0009112784121819,-0.0031595065234486,0.0013172273429061
triviaqa_long,TriviaQA long,128,64,52,0.3714285714285714,0.8125,-0.0027990983784761,-0.0154709304230092,0.009670211105784,-2.2980053313803595e-05,-0.0077472793773371,0.0076455592482904
